Time,Category,Average Score
2025-06-20 14:16:29,mouthClose,0.0
2025-06-20 14:16:29,mouthDimpleLeft,0.01
2025-06-20 14:16:29,mouthDimpleRight,0.0
2025-06-20 14:16:29,mouthFrownLeft,0.01
2025-06-20 14:16:29,mouthFrownRight,0.01
2025-06-20 14:16:29,mouthFunnel,0.01
2025-06-20 14:16:29,mouthLeft,0.0
2025-06-20 14:16:29,mouthLowerDownLeft,0.01
2025-06-20 14:16:29,mouthLowerDownRight,0.01
2025-06-20 14:16:29,mouthPressLeft,0.0
2025-06-20 14:16:29,mouthPressRight,0.01
2025-06-20 14:16:29,mouthPucker,0.06
2025-06-20 14:16:29,mouthRight,0.0
2025-06-20 14:16:29,mouthRollLower,0.02
2025-06-20 14:16:29,mouthRollUpper,0.0
2025-06-20 14:16:29,mouthShrugLower,0.02
2025-06-20 14:16:29,mouthShrugUpper,0.08
2025-06-20 14:16:29,mouthSmileLeft,0.0
2025-06-20 14:16:29,mouthSmileRight,0.0
2025-06-20 14:16:29,mouthStretchLeft,0.0
2025-06-20 14:16:29,mouthStretchRight,0.01
2025-06-20 14:16:29,mouthUpperUpLeft,0.0
2025-06-20 14:16:29,mouthUpperUpRight,0.0
2025-06-20 14:16:29,noseSneerLeft,0.0
2025-06-20 14:16:29,noseSneerRight,0.0
2025-06-20 14:16:30,_neutral,0.0
2025-06-20 14:16:30,browDownLeft,0.0
2025-06-20 14:16:30,browDownRight,0.0
2025-06-20 14:16:30,browInnerUp,0.67
2025-06-20 14:16:30,browOuterUpLeft,0.54
2025-06-20 14:16:30,browOuterUpRight,0.29
2025-06-20 14:16:30,cheekPuff,0.0
2025-06-20 14:16:30,cheekSquintLeft,0.0
2025-06-20 14:16:30,cheekSquintRight,0.0
2025-06-20 14:16:30,eyeBlinkLeft,0.38
2025-06-20 14:16:30,eyeBlinkRight,0.32
2025-06-20 14:16:30,eyeLookDownLeft,0.28
2025-06-20 14:16:30,eyeLookDownRight,0.4
2025-06-20 14:16:30,eyeLookInLeft,0.2
2025-06-20 14:16:30,eyeLookInRight,0.02
2025-06-20 14:16:30,eyeLookOutLeft,0.05
2025-06-20 14:16:30,eyeLookOutRight,0.24
2025-06-20 14:16:30,eyeLookUpLeft,0.08
2025-06-20 14:16:30,eyeLookUpRight,0.02
2025-06-20 14:16:30,eyeSquintLeft,0.53
2025-06-20 14:16:30,eyeSquintRight,0.3
2025-06-20 14:16:30,eyeWideLeft,0.01
2025-06-20 14:16:30,eyeWideRight,0.0
2025-06-20 14:16:30,jawForward,0.0
2025-06-20 14:16:30,jawLeft,0.01
2025-06-20 14:16:30,jawOpen,0.08
2025-06-20 14:16:30,jawRight,0.0
2025-06-20 14:16:30,mouthClose,0.0
2025-06-20 14:16:30,mouthDimpleLeft,0.01
2025-06-20 14:16:30,mouthDimpleRight,0.0
2025-06-20 14:16:30,mouthFrownLeft,0.0
2025-06-20 14:16:30,mouthFrownRight,0.0
2025-06-20 14:16:30,mouthFunnel,0.0
2025-06-20 14:16:30,mouthLeft,0.0
2025-06-20 14:16:30,mouthLowerDownLeft,0.01
2025-06-20 14:16:30,mouthLowerDownRight,0.01
2025-06-20 14:16:30,mouthPressLeft,0.01
2025-06-20 14:16:30,mouthPressRight,0.03
2025-06-20 14:16:30,mouthPucker,0.16
2025-06-20 14:16:30,mouthRight,0.0
2025-06-20 14:16:30,mouthRollLower,0.03
2025-06-20 14:16:30,mouthRollUpper,0.01
2025-06-20 14:16:30,mouthShrugLower,0.03
2025-06-20 14:16:30,mouthShrugUpper,0.05
2025-06-20 14:16:30,mouthSmileLeft,0.0
2025-06-20 14:16:30,mouthSmileRight,0.0
2025-06-20 14:16:30,mouthStretchLeft,0.0
2025-06-20 14:16:30,mouthStretchRight,0.02
2025-06-20 14:16:30,mouthUpperUpLeft,0.0
2025-06-20 14:16:30,mouthUpperUpRight,0.0
2025-06-20 14:16:30,noseSneerLeft,0.0
2025-06-20 14:16:30,noseSneerRight,0.0
2025-06-20 14:16:31,_neutral,0.0
2025-06-20 14:16:31,browDownLeft,0.0
2025-06-20 14:16:31,browDownRight,0.0
2025-06-20 14:16:31,browInnerUp,0.61
2025-06-20 14:16:31,browOuterUpLeft,0.71
2025-06-20 14:16:31,browOuterUpRight,0.06
2025-06-20 14:16:31,cheekPuff,0.0
2025-06-20 14:16:31,cheekSquintLeft,0.0
2025-06-20 14:16:31,cheekSquintRight,0.0
2025-06-20 14:16:31,eyeBlinkLeft,0.28
2025-06-20 14:16:31,eyeBlinkRight,0.31
2025-06-20 14:16:31,eyeLookDownLeft,0.11
2025-06-20 14:16:31,eyeLookDownRight,0.35
2025-06-20 14:16:31,eyeLookInLeft,0.05
2025-06-20 14:16:31,eyeLookInRight,0.05
2025-06-20 14:16:31,eyeLookOutLeft,0.14
2025-06-20 14:16:31,eyeLookOutRight,0.15
2025-06-20 14:16:31,eyeLookUpLeft,0.15
2025-06-20 14:16:31,eyeLookUpRight,0.03
2025-06-20 14:16:31,eyeSquintLeft,0.5
2025-06-20 14:16:31,eyeSquintRight,0.19
2025-06-20 14:16:31,eyeWideLeft,0.01
2025-06-20 14:16:31,eyeWideRight,0.0
2025-06-20 14:16:31,jawForward,0.0
2025-06-20 14:16:31,jawLeft,0.01
2025-06-20 14:16:31,jawOpen,0.0
2025-06-20 14:16:31,jawRight,0.0
2025-06-20 14:16:31,mouthClose,0.0
2025-06-20 14:16:31,mouthDimpleLeft,0.0
2025-06-20 14:16:31,mouthDimpleRight,0.0
2025-06-20 14:16:31,mouthFrownLeft,0.0
2025-06-20 14:16:31,mouthFrownRight,0.0
2025-06-20 14:16:31,mouthFunnel,0.0
2025-06-20 14:16:31,mouthLeft,0.01
2025-06-20 14:16:31,mouthLowerDownLeft,0.0
2025-06-20 14:16:31,mouthLowerDownRight,0.0
2025-06-20 14:16:31,mouthPressLeft,0.0
2025-06-20 14:16:31,mouthPressRight,0.06
2025-06-20 14:16:31,mouthPucker,0.01
2025-06-20 14:16:31,mouthRight,0.0
2025-06-20 14:16:31,mouthRollLower,0.01
2025-06-20 14:16:31,mouthRollUpper,0.0
2025-06-20 14:16:31,mouthShrugLower,0.05
2025-06-20 14:16:31,mouthShrugUpper,0.05
2025-06-20 14:16:31,mouthSmileLeft,0.0
2025-06-20 14:16:31,mouthSmileRight,0.0
2025-06-20 14:16:31,mouthStretchLeft,0.0
2025-06-20 14:16:31,mouthStretchRight,0.0
2025-06-20 14:16:31,mouthUpperUpLeft,0.0
2025-06-20 14:16:31,mouthUpperUpRight,0.0
2025-06-20 14:16:31,noseSneerLeft,0.0
2025-06-20 14:16:31,noseSneerRight,0.0
2025-06-20 14:16:32,_neutral,0.0
2025-06-20 14:16:32,browDownLeft,0.11
2025-06-20 14:16:32,browDownRight,0.16
2025-06-20 14:16:32,browInnerUp,0.01
2025-06-20 14:16:32,browOuterUpLeft,0.04
2025-06-20 14:16:32,browOuterUpRight,0.05
2025-06-20 14:16:32,cheekPuff,0.0
2025-06-20 14:16:32,cheekSquintLeft,0.0
2025-06-20 14:16:32,cheekSquintRight,0.0
2025-06-20 14:16:32,eyeBlinkLeft,0.25
2025-06-20 14:16:32,eyeBlinkRight,0.21
2025-06-20 14:16:32,eyeLookDownLeft,0.64
2025-06-20 14:16:32,eyeLookDownRight,0.66
2025-06-20 14:16:32,eyeLookInLeft,0.02
2025-06-20 14:16:32,eyeLookInRight,0.15
2025-06-20 14:16:32,eyeLookOutLeft,0.2
2025-06-20 14:16:32,eyeLookOutRight,0.04
2025-06-20 14:16:32,eyeLookUpLeft,0.01
2025-06-20 14:16:32,eyeLookUpRight,0.01
2025-06-20 14:16:32,eyeSquintLeft,0.26
2025-06-20 14:16:32,eyeSquintRight,0.24
2025-06-20 14:16:32,eyeWideLeft,0.0
2025-06-20 14:16:32,eyeWideRight,0.0
2025-06-20 14:16:32,jawForward,0.0
2025-06-20 14:16:32,jawLeft,0.0
2025-06-20 14:16:32,jawOpen,0.01
2025-06-20 14:16:32,jawRight,0.0
2025-06-20 14:16:32,mouthClose,0.0
2025-06-20 14:16:32,mouthDimpleLeft,0.0
2025-06-20 14:16:32,mouthDimpleRight,0.04
2025-06-20 14:16:32,mouthFrownLeft,0.0
2025-06-20 14:16:32,mouthFrownRight,0.0
2025-06-20 14:16:32,mouthFunnel,0.06
2025-06-20 14:16:32,mouthLeft,0.0
2025-06-20 14:16:32,mouthLowerDownLeft,0.07
2025-06-20 14:16:32,mouthLowerDownRight,0.03
2025-06-20 14:16:32,mouthPressLeft,0.0
2025-06-20 14:16:32,mouthPressRight,0.02
2025-06-20 14:16:32,mouthPucker,0.1
2025-06-20 14:16:32,mouthRight,0.0
2025-06-20 14:16:32,mouthRollLower,0.0
2025-06-20 14:16:32,mouthRollUpper,0.0
2025-06-20 14:16:32,mouthShrugLower,0.0
2025-06-20 14:16:32,mouthShrugUpper,0.04
2025-06-20 14:16:32,mouthSmileLeft,0.01
2025-06-20 14:16:32,mouthSmileRight,0.03
2025-06-20 14:16:32,mouthStretchLeft,0.01
2025-06-20 14:16:32,mouthStretchRight,0.0
2025-06-20 14:16:32,mouthUpperUpLeft,0.05
2025-06-20 14:16:32,mouthUpperUpRight,0.16
2025-06-20 14:16:32,noseSneerLeft,0.0
2025-06-20 14:16:32,noseSneerRight,0.0
2025-06-20 14:16:33,_neutral,0.0
2025-06-20 14:16:33,browDownLeft,0.04
2025-06-20 14:16:33,browDownRight,0.04
2025-06-20 14:16:33,browInnerUp,0.34
2025-06-20 14:16:33,browOuterUpLeft,0.24
2025-06-20 14:16:33,browOuterUpRight,0.24
2025-06-20 14:16:33,cheekPuff,0.0
2025-06-20 14:16:33,cheekSquintLeft,0.0
2025-06-20 14:16:33,cheekSquintRight,0.0
2025-06-20 14:16:33,eyeBlinkLeft,0.24
2025-06-20 14:16:33,eyeBlinkRight,0.25
2025-06-20 14:16:33,eyeLookDownLeft,0.49
2025-06-20 14:16:33,eyeLookDownRight,0.54
2025-06-20 14:16:33,eyeLookInLeft,0.04
2025-06-20 14:16:33,eyeLookInRight,0.1
2025-06-20 14:16:33,eyeLookOutLeft,0.14
2025-06-20 14:16:33,eyeLookOutRight,0.06
2025-06-20 14:16:33,eyeLookUpLeft,0.02
2025-06-20 14:16:33,eyeLookUpRight,0.01
2025-06-20 14:16:33,eyeSquintLeft,0.34
2025-06-20 14:16:33,eyeSquintRight,0.2
2025-06-20 14:16:33,eyeWideLeft,0.01
2025-06-20 14:16:33,eyeWideRight,0.0
2025-06-20 14:16:33,jawForward,0.0
2025-06-20 14:16:33,jawLeft,0.0
2025-06-20 14:16:33,jawOpen,0.01
2025-06-20 14:16:33,jawRight,0.0
2025-06-20 14:16:33,mouthClose,0.0
2025-06-20 14:16:33,mouthDimpleLeft,0.0
2025-06-20 14:16:33,mouthDimpleRight,0.02
2025-06-20 14:16:33,mouthFrownLeft,0.01
2025-06-20 14:16:33,mouthFrownRight,0.0
2025-06-20 14:16:33,mouthFunnel,0.01
2025-06-20 14:16:33,mouthLeft,0.0
2025-06-20 14:16:33,mouthLowerDownLeft,0.06
2025-06-20 14:16:33,mouthLowerDownRight,0.04
2025-06-20 14:16:33,mouthPressLeft,0.03
2025-06-20 14:16:33,mouthPressRight,0.03
2025-06-20 14:16:33,mouthPucker,0.03
2025-06-20 14:16:33,mouthRight,0.0
2025-06-20 14:16:33,mouthRollLower,0.01
2025-06-20 14:16:33,mouthRollUpper,0.0
2025-06-20 14:16:33,mouthShrugLower,0.02
2025-06-20 14:16:33,mouthShrugUpper,0.16
2025-06-20 14:16:33,mouthSmileLeft,0.02
2025-06-20 14:16:33,mouthSmileRight,0.04
2025-06-20 14:16:33,mouthStretchLeft,0.01
2025-06-20 14:16:33,mouthStretchRight,0.02
2025-06-20 14:16:33,mouthUpperUpLeft,0.1
2025-06-20 14:16:33,mouthUpperUpRight,0.19
2025-06-20 14:16:33,noseSneerLeft,0.0
2025-06-20 14:16:33,noseSneerRight,0.0
2025-06-20 14:16:34,_neutral,0.0
2025-06-20 14:16:34,browDownLeft,0.01
2025-06-20 14:16:34,browDownRight,0.01
2025-06-20 14:16:34,browInnerUp,0.15
2025-06-20 14:16:34,browOuterUpLeft,0.17
2025-06-20 14:16:34,browOuterUpRight,0.2
2025-06-20 14:16:34,cheekPuff,0.0
2025-06-20 14:16:34,cheekSquintLeft,0.0
2025-06-20 14:16:34,cheekSquintRight,0.0
2025-06-20 14:16:34,eyeBlinkLeft,0.33
2025-06-20 14:16:34,eyeBlinkRight,0.32
2025-06-20 14:16:34,eyeLookDownLeft,0.52
2025-06-20 14:16:34,eyeLookDownRight,0.47
2025-06-20 14:16:34,eyeLookInLeft,0.09
2025-06-20 14:16:34,eyeLookInRight,0.1
2025-06-20 14:16:34,eyeLookOutLeft,0.1
2025-06-20 14:16:34,eyeLookOutRight,0.07
2025-06-20 14:16:34,eyeLookUpLeft,0.02
2025-06-20 14:16:34,eyeLookUpRight,0.01
2025-06-20 14:16:34,eyeSquintLeft,0.4
2025-06-20 14:16:34,eyeSquintRight,0.33
2025-06-20 14:16:34,eyeWideLeft,0.0
2025-06-20 14:16:34,eyeWideRight,0.0
2025-06-20 14:16:34,jawForward,0.0
2025-06-20 14:16:34,jawLeft,0.0
2025-06-20 14:16:34,jawOpen,0.11
2025-06-20 14:16:34,jawRight,0.0
2025-06-20 14:16:34,mouthClose,0.0
2025-06-20 14:16:34,mouthDimpleLeft,0.02
2025-06-20 14:16:34,mouthDimpleRight,0.02
2025-06-20 14:16:34,mouthFrownLeft,0.0
2025-06-20 14:16:34,mouthFrownRight,0.0
2025-06-20 14:16:34,mouthFunnel,0.03
2025-06-20 14:16:34,mouthLeft,0.0
2025-06-20 14:16:34,mouthLowerDownLeft,0.04
2025-06-20 14:16:34,mouthLowerDownRight,0.06
2025-06-20 14:16:34,mouthPressLeft,0.05
2025-06-20 14:16:34,mouthPressRight,0.02
2025-06-20 14:16:34,mouthPucker,0.18
2025-06-20 14:16:34,mouthRight,0.01
2025-06-20 14:16:34,mouthRollLower,0.01
2025-06-20 14:16:34,mouthRollUpper,0.01
2025-06-20 14:16:34,mouthShrugLower,0.0
2025-06-20 14:16:34,mouthShrugUpper,0.09
2025-06-20 14:16:34,mouthSmileLeft,0.15
2025-06-20 14:16:34,mouthSmileRight,0.12
2025-06-20 14:16:34,mouthStretchLeft,0.01
2025-06-20 14:16:34,mouthStretchRight,0.0
2025-06-20 14:16:34,mouthUpperUpLeft,0.17
2025-06-20 14:16:34,mouthUpperUpRight,0.2
2025-06-20 14:16:34,noseSneerLeft,0.0
2025-06-20 14:16:34,noseSneerRight,0.0
2025-06-20 14:16:35,_neutral,0.0
2025-06-20 14:16:35,browDownLeft,0.02
2025-06-20 14:16:35,browDownRight,0.02
2025-06-20 14:16:35,browInnerUp,0.1
2025-06-20 14:16:35,browOuterUpLeft,0.12
2025-06-20 14:16:35,browOuterUpRight,0.21
2025-06-20 14:16:35,cheekPuff,0.0
2025-06-20 14:16:35,cheekSquintLeft,0.0
2025-06-20 14:16:35,cheekSquintRight,0.0
2025-06-20 14:16:35,eyeBlinkLeft,0.28
2025-06-20 14:16:35,eyeBlinkRight,0.22
2025-06-20 14:16:35,eyeLookDownLeft,0.39
2025-06-20 14:16:35,eyeLookDownRight,0.39
2025-06-20 14:16:35,eyeLookInLeft,0.04
2025-06-20 14:16:35,eyeLookInRight,0.15
2025-06-20 14:16:35,eyeLookOutLeft,0.15
2025-06-20 14:16:35,eyeLookOutRight,0.03
2025-06-20 14:16:35,eyeLookUpLeft,0.03
2025-06-20 14:16:35,eyeLookUpRight,0.02
2025-06-20 14:16:35,eyeSquintLeft,0.51
2025-06-20 14:16:35,eyeSquintRight,0.51
2025-06-20 14:16:35,eyeWideLeft,0.0
2025-06-20 14:16:35,eyeWideRight,0.0
2025-06-20 14:16:35,jawForward,0.0
2025-06-20 14:16:35,jawLeft,0.0
2025-06-20 14:16:35,jawOpen,0.11
2025-06-20 14:16:35,jawRight,0.0
2025-06-20 14:16:35,mouthClose,0.0
2025-06-20 14:16:35,mouthDimpleLeft,0.01
2025-06-20 14:16:35,mouthDimpleRight,0.01
2025-06-20 14:16:35,mouthFrownLeft,0.0
2025-06-20 14:16:35,mouthFrownRight,0.0
2025-06-20 14:16:35,mouthFunnel,0.01
2025-06-20 14:16:35,mouthLeft,0.0
2025-06-20 14:16:35,mouthLowerDownLeft,0.26
2025-06-20 14:16:35,mouthLowerDownRight,0.3
2025-06-20 14:16:35,mouthPressLeft,0.04
2025-06-20 14:16:35,mouthPressRight,0.05
2025-06-20 14:16:35,mouthPucker,0.01
2025-06-20 14:16:35,mouthRight,0.0
2025-06-20 14:16:35,mouthRollLower,0.01
2025-06-20 14:16:35,mouthRollUpper,0.01
2025-06-20 14:16:35,mouthShrugLower,0.0
2025-06-20 14:16:35,mouthShrugUpper,0.03
2025-06-20 14:16:35,mouthSmileLeft,0.51
2025-06-20 14:16:35,mouthSmileRight,0.48
2025-06-20 14:16:35,mouthStretchLeft,0.03
2025-06-20 14:16:35,mouthStretchRight,0.01
2025-06-20 14:16:35,mouthUpperUpLeft,0.25
2025-06-20 14:16:35,mouthUpperUpRight,0.33
2025-06-20 14:16:35,noseSneerLeft,0.0
2025-06-20 14:16:35,noseSneerRight,0.0
2025-06-20 14:16:36,_neutral,0.0
2025-06-20 14:16:36,browDownLeft,0.0
2025-06-20 14:16:36,browDownRight,0.0
2025-06-20 14:16:36,browInnerUp,0.26
2025-06-20 14:16:36,browOuterUpLeft,0.26
2025-06-20 14:16:36,browOuterUpRight,0.29
2025-06-20 14:16:36,cheekPuff,0.0
2025-06-20 14:16:36,cheekSquintLeft,0.0
2025-06-20 14:16:36,cheekSquintRight,0.0
2025-06-20 14:16:36,eyeBlinkLeft,0.24
2025-06-20 14:16:36,eyeBlinkRight,0.16
2025-06-20 14:16:36,eyeLookDownLeft,0.39
2025-06-20 14:16:36,eyeLookDownRight,0.39
2025-06-20 14:16:36,eyeLookInLeft,0.03
2025-06-20 14:16:36,eyeLookInRight,0.21
2025-06-20 14:16:36,eyeLookOutLeft,0.21
2025-06-20 14:16:36,eyeLookOutRight,0.04
2025-06-20 14:16:36,eyeLookUpLeft,0.02
2025-06-20 14:16:36,eyeLookUpRight,0.02
2025-06-20 14:16:36,eyeSquintLeft,0.38
2025-06-20 14:16:36,eyeSquintRight,0.41
2025-06-20 14:16:36,eyeWideLeft,0.0
2025-06-20 14:16:36,eyeWideRight,0.0
2025-06-20 14:16:36,jawForward,0.0
2025-06-20 14:16:36,jawLeft,0.0
2025-06-20 14:16:36,jawOpen,0.15
2025-06-20 14:16:36,jawRight,0.0
2025-06-20 14:16:36,mouthClose,0.0
2025-06-20 14:16:36,mouthDimpleLeft,0.02
2025-06-20 14:16:36,mouthDimpleRight,0.01
2025-06-20 14:16:36,mouthFrownLeft,0.0
2025-06-20 14:16:36,mouthFrownRight,0.0
2025-06-20 14:16:36,mouthFunnel,0.01
2025-06-20 14:16:36,mouthLeft,0.0
2025-06-20 14:16:36,mouthLowerDownLeft,0.04
2025-06-20 14:16:36,mouthLowerDownRight,0.05
2025-06-20 14:16:36,mouthPressLeft,0.15
2025-06-20 14:16:36,mouthPressRight,0.02
2025-06-20 14:16:36,mouthPucker,0.02
2025-06-20 14:16:36,mouthRight,0.01
2025-06-20 14:16:36,mouthRollLower,0.01
2025-06-20 14:16:36,mouthRollUpper,0.01
2025-06-20 14:16:36,mouthShrugLower,0.01
2025-06-20 14:16:36,mouthShrugUpper,0.06
2025-06-20 14:16:36,mouthSmileLeft,0.33
2025-06-20 14:16:36,mouthSmileRight,0.22
2025-06-20 14:16:36,mouthStretchLeft,0.03
2025-06-20 14:16:36,mouthStretchRight,0.0
2025-06-20 14:16:36,mouthUpperUpLeft,0.05
2025-06-20 14:16:36,mouthUpperUpRight,0.06
2025-06-20 14:16:36,noseSneerLeft,0.0
2025-06-20 14:16:36,noseSneerRight,0.0
2025-06-20 14:16:37,_neutral,0.0
2025-06-20 14:16:37,browDownLeft,0.04
2025-06-20 14:16:37,browDownRight,0.03
2025-06-20 14:16:37,browInnerUp,0.12
2025-06-20 14:16:37,browOuterUpLeft,0.15
2025-06-20 14:16:37,browOuterUpRight,0.12
2025-06-20 14:16:37,cheekPuff,0.0
2025-06-20 14:16:37,cheekSquintLeft,0.0
2025-06-20 14:16:37,cheekSquintRight,0.0
2025-06-20 14:16:37,eyeBlinkLeft,0.34
2025-06-20 14:16:37,eyeBlinkRight,0.32
2025-06-20 14:16:37,eyeLookDownLeft,0.49
2025-06-20 14:16:37,eyeLookDownRight,0.48
2025-06-20 14:16:37,eyeLookInLeft,0.03
2025-06-20 14:16:37,eyeLookInRight,0.16
2025-06-20 14:16:37,eyeLookOutLeft,0.18
2025-06-20 14:16:37,eyeLookOutRight,0.04
2025-06-20 14:16:37,eyeLookUpLeft,0.02
2025-06-20 14:16:37,eyeLookUpRight,0.01
2025-06-20 14:16:37,eyeSquintLeft,0.39
2025-06-20 14:16:37,eyeSquintRight,0.39
2025-06-20 14:16:37,eyeWideLeft,0.0
2025-06-20 14:16:37,eyeWideRight,0.0
2025-06-20 14:16:37,jawForward,0.0
2025-06-20 14:16:37,jawLeft,0.0
2025-06-20 14:16:37,jawOpen,0.12
2025-06-20 14:16:37,jawRight,0.0
2025-06-20 14:16:37,mouthClose,0.0
2025-06-20 14:16:37,mouthDimpleLeft,0.01
2025-06-20 14:16:37,mouthDimpleRight,0.02
2025-06-20 14:16:37,mouthFrownLeft,0.0
2025-06-20 14:16:37,mouthFrownRight,0.0
2025-06-20 14:16:37,mouthFunnel,0.01
2025-06-20 14:16:37,mouthLeft,0.0
2025-06-20 14:16:37,mouthLowerDownLeft,0.07
2025-06-20 14:16:37,mouthLowerDownRight,0.09
2025-06-20 14:16:37,mouthPressLeft,0.05
2025-06-20 14:16:37,mouthPressRight,0.02
2025-06-20 14:16:37,mouthPucker,0.03
2025-06-20 14:16:37,mouthRight,0.01
2025-06-20 14:16:37,mouthRollLower,0.0
2025-06-20 14:16:37,mouthRollUpper,0.01
2025-06-20 14:16:37,mouthShrugLower,0.06
2025-06-20 14:16:37,mouthShrugUpper,0.09
2025-06-20 14:16:37,mouthSmileLeft,0.34
2025-06-20 14:16:37,mouthSmileRight,0.28
2025-06-20 14:16:37,mouthStretchLeft,0.03
2025-06-20 14:16:37,mouthStretchRight,0.01
2025-06-20 14:16:37,mouthUpperUpLeft,0.28
2025-06-20 14:16:37,mouthUpperUpRight,0.33
2025-06-20 14:16:37,noseSneerLeft,0.0
2025-06-20 14:16:37,noseSneerRight,0.0
2025-06-20 14:16:38,_neutral,0.0
2025-06-20 14:16:38,browDownLeft,0.02
2025-06-20 14:16:38,browDownRight,0.03
2025-06-20 14:16:38,browInnerUp,0.05
2025-06-20 14:16:38,browOuterUpLeft,0.15
2025-06-20 14:16:38,browOuterUpRight,0.13
2025-06-20 14:16:38,cheekPuff,0.0
2025-06-20 14:16:38,cheekSquintLeft,0.0
2025-06-20 14:16:38,cheekSquintRight,0.0
2025-06-20 14:16:38,eyeBlinkLeft,0.31
2025-06-20 14:16:38,eyeBlinkRight,0.3
2025-06-20 14:16:38,eyeLookDownLeft,0.54
2025-06-20 14:16:38,eyeLookDownRight,0.51
2025-06-20 14:16:38,eyeLookInLeft,0.04
2025-06-20 14:16:38,eyeLookInRight,0.13
2025-06-20 14:16:38,eyeLookOutLeft,0.14
2025-06-20 14:16:38,eyeLookOutRight,0.05
2025-06-20 14:16:38,eyeLookUpLeft,0.01
2025-06-20 14:16:38,eyeLookUpRight,0.01
2025-06-20 14:16:38,eyeSquintLeft,0.3
